rank,股票名称,总市值,日期
1,sh113049,4412.71,2022-01-04
2,sz128136,3595.75,2022-01-04
3,sz127045,3041.64,2022-01-04
4,sh113616,2715.74,2022-01-04
5,sh110059,2515.48,2022-01-04
6,sz128095,2271.44,2022-01-04
7,sh113021,2265.68,2022-01-04
8,sh113011,1799.26,2022-01-04
9,sh110081,1619.59,2022-01-04
10,sh113013,1591.05,2022-01-04
11,sz127038,1384.09,2022-01-04
12,sz123107,1313.55,2022-01-04
13,sh110075,1179.61,2022-01-04
14,sh113042,1018.62,2022-01-04
15,sh113044,960.4,2022-01-04
16,sz127030,923.95,2022-01-04
17,sz127036,922.23,2022-01-04
18,sh113050,904.63,2022-01-04
19,sh110053,881.75,2022-01-04
20,sh113633,845.28,2022-01-04
21,sh113016,782.91,2022-01-04
22,sh110079,757.88,2022-01-04
23,sz127015,729.84,2022-01-04
24,sz127049,729.84,2022-01-04
25,sz123119,665.39,2022-01-04
26,sz128035,553.6,2022-01-04
27,sh110061,537.99,2022-01-04
28,sh110073,533.3,2022-01-04
29,sh110082,523.57,2022-01-04
30,sh113579,477.92,2022-01-04
31,sz127012,475.72,2022-01-04
32,sz127046,446.8,2022-01-04
33,sh113047,439.47,2022-01-04
34,sz123117,431.83,2022-01-04
35,sz123108,426.24,2022-01-04
36,sz127005,418.06,2022-01-04
37,sh113634,413.48,2022-01-04
38,sh113043,395.51,2022-01-04
39,sz127022,393.03,2022-01-04
40,sz123083,372.49,2022-01-04
41,sz123104,363.1,2022-01-04
42,sh113045,360.83,2022-01-04
43,sh113605,351.18,2022-01-04
44,sh113582,346.64,2022-01-04
45,sz123022,346.13,2022-01-04
46,sh113051,326.85,2022-01-04
47,sz128114,321.56,2022-01-04
48,sh110076,314.91,2022-01-04
49,sz128135,313.73,2022-01-04
50,sz127025,300.04,2022-01-04
1,sh113049,4246.47,2022-01-05
2,sz128136,3409.08,2022-01-05
3,sz127045,3051.64,2022-01-05
4,sh110059,2536.03,2022-01-05
5,sh113616,2504.57,2022-01-05
6,sh113021,2280.36,2022-01-05
7,sz128095,2137.31,2022-01-05
8,sh113011,1815.47,2022-01-05
9,sh113013,1575.01,2022-01-05
10,sh110081,1554.4,2022-01-05
11,sz123107,1324.35,2022-01-05
12,sz127038,1313.8,2022-01-05
13,sh110075,1220.29,2022-01-05
14,sh113042,1027.14,2022-01-05
15,sh113044,960.4,2022-01-05
16,sz127030,922.99,2022-01-05
17,sh113050,915.65,2022-01-05
18,sh110053,895.04,2022-01-05
19,sz127036,893.14,2022-01-05
20,sh113633,869.36,2022-01-05
21,sh113016,780.6,2022-01-05
22,sh110079,772.12,2022-01-05
23,sz127015,770.39,2022-01-05
24,sz127049,770.39,2022-01-05
25,sz123119,620.87,2022-01-05
26,sh110061,532.26,2022-01-05
27,sh110073,530.09,2022-01-05
28,sz128035,529.16,2022-01-05
29,sh110082,499.36,2022-01-05
30,sz127012,483.14,2022-01-05
31,sh113579,475.55,2022-01-05
32,sz127046,440.87,2022-01-05
33,sh113047,430.61,2022-01-05
34,sz123117,419.26,2022-01-05
35,sz127005,419.17,2022-01-05
36,sz123108,417.76,2022-01-05
37,sh113634,410.02,2022-01-05
38,sz127022,397.06,2022-01-05
39,sh113043,394.43,2022-01-05
40,sz123083,369.7,2022-01-05
41,sz123104,350.3,2022-01-05
42,sh113045,341.69,2022-01-05
43,sh113605,340.11,2022-01-05
44,sh113582,327.42,2022-01-05
45,sz128114,326.91,2022-01-05
46,sh110076,315.95,2022-01-05
47,sz123022,311.53,2022-01-05
48,sh113051,310.82,2022-01-05
49,sz128128,307.29,2022-01-05
50,sz127025,300.28,2022-01-05
1,sh113049,4120.05,2022-01-06
2,sz128136,3312.91,2022-01-06
3,sz127045,2983.23,2022-01-06
4,sh110059,2515.48,2022-01-06
5,sh113616,2443.27,2022-01-06
6,sh113021,2265.68,2022-01-06
7,sz128095,2080.02,2022-01-06
8,sh113011,1804.67,2022-01-06
9,sh110081,1581.44,2022-01-06
10,sh113013,1548.29,2022-01-06
11,sz123107,1310.38,2022-01-06
12,sz127038,1295.6,2022-01-06
13,sh110075,1181.31,2022-01-06
14,sh113042,1021.46,2022-01-06
15,sz127030,987.78,2022-01-06
16,sh113044,958.92,2022-01-06
17,sh113050,923.65,2022-01-06
18,sh110053,892.09,2022-01-06
19,sz127036,876.62,2022-01-06
20,sh113633,847.8,2022-01-06
21,sz127015,771.29,2022-01-06
22,sz127049,771.29,2022-01-06
23,sh110079,763.22,2022-01-06
24,sh113016,749.32,2022-01-06
25,sz123119,619.7,2022-01-06
26,sh110061,526.54,2022-01-06
27,sz128035,526.17,2022-01-06
28,sh110073,524.3,2022-01-06
29,sh110082,503.98,2022-01-06
30,sz127012,478.2,2022-01-06
31,sh113579,471.82,2022-01-06
32,sh113047,450.76,2022-01-06
33,sz127046,433.08,2022-01-06
34,sz123108,420.29,2022-01-06
35,sz123117,418.05,2022-01-06
36,sz127005,414.19,2022-01-06
37,sh113634,398.88,2022-01-06
38,sz127022,395.22,2022-01-06
39,sh113043,391.2,2022-01-06
40,sz123083,364.68,2022-01-06
41,sh113045,346.56,2022-01-06
42,sz123104,345.79,2022-01-06
43,sh113605,341.77,2022-01-06
44,sh110076,330.72,2022-01-06
45,sh113582,322.91,2022-01-06
46,sz128114,322.19,2022-01-06
47,sz123022,314.23,2022-01-06
48,sh113051,313.32,2022-01-06
49,sz128128,305.3,2022-01-06
50,sz127025,305.24,2022-01-06
1,sh113049,4171.77,2022-01-07
2,sz128136,3295.94,2022-01-07
3,sz127045,2961.13,2022-01-07
4,sh110059,2556.57,2022-01-07
5,sh113616,2432.24,2022-01-07
6,sh113021,2299.94,2022-01-07
7,sz128095,2015.95,2022-01-07
8,sh113011,1831.68,2022-01-07
9,sh113013,1567.0,2022-01-07
10,sh110081,1542.06,2022-01-07
11,sz127038,1280.31,2022-01-07
12,sz123107,1278.62,2022-01-07
13,sh110075,1186.39,2022-01-07
14,sh113042,1032.82,2022-01-07
15,sz127030,991.17,2022-01-07
16,sh113044,967.84,2022-01-07
17,sh113050,927.66,2022-01-07
18,sh110053,915.72,2022-01-07
19,sz127036,894.58,2022-01-07
20,sh113633,846.6,2022-01-07
21,sh110079,785.76,2022-01-07
22,sz127015,760.93,2022-01-07
23,sz127049,760.93,2022-01-07
24,sh113016,714.78,2022-01-07
25,sz123119,618.95,2022-01-07
26,sh110073,524.95,2022-01-07
27,sz128035,520.84,2022-01-07
28,sh110061,515.96,2022-01-07
29,sz127012,489.93,2022-01-07
30,sh110082,484.84,2022-01-07
31,sh113047,463.65,2022-01-07
32,sh113579,459.76,2022-01-07
33,sz123117,434.4,2022-01-07
34,sz127005,420.83,2022-01-07
35,sz127046,415.91,2022-01-07
36,sz123108,412.35,2022-01-07
37,sz127022,393.76,2022-01-07
38,sh113043,388.69,2022-01-07
39,sh113634,380.17,2022-01-07
40,sz123083,361.44,2022-01-07
41,sh113605,340.74,2022-01-07
42,sh113045,337.71,2022-01-07
43,sz123104,337.42,2022-01-07
44,sh110076,332.81,2022-01-07
45,sz128114,320.94,2022-01-07
46,sh113582,311.32,2022-01-07
47,sz127025,308.47,2022-01-07
48,sh113051,306.81,2022-01-07
49,sz128128,306.44,2022-01-07
50,sz123022,303.92,2022-01-07
1,sh113049,4331.55,2022-01-10
2,sz128136,3436.66,2022-01-10
3,sz127045,3119.53,2022-01-10
4,sh110059,2559.51,2022-01-10
5,sh113616,2397.73,2022-01-10
6,sh113021,2295.04,2022-01-10
7,sz128095,2061.46,2022-01-10
8,sh113011,1842.49,2022-01-10
9,sh113013,1589.27,2022-01-10
10,sh110081,1536.33,2022-01-10
11,sz123107,1363.73,2022-01-10
12,sz127038,1244.02,2022-01-10
13,sh110075,1206.73,2022-01-10
14,sh113042,1035.66,2022-01-10
15,sh113044,972.3,2022-01-10
16,sz127030,956.84,2022-01-10
17,sh113050,935.66,2022-01-10
18,sh110053,921.62,2022-01-10
19,sz127036,907.15,2022-01-10
20,sh113633,872.34,2022-01-10
21,sz127015,829.41,2022-01-10
22,sz127049,829.41,2022-01-10
23,sh110079,795.25,2022-01-10
24,sh113016,715.73,2022-01-10
25,sz123119,642.03,2022-01-10
26,sh110073,527.52,2022-01-10
27,sh110061,519.93,2022-01-10
28,sz128035,514.97,2022-01-10
29,sh110082,484.69,2022-01-10
30,sz127012,484.37,2022-01-10
31,sh113047,469.83,2022-01-10
32,sh113579,462.37,2022-01-10
33,sz123117,440.61,2022-01-10
34,sz123108,425.16,2022-01-10
35,sz127005,419.17,2022-01-10
36,sz127046,402.33,2022-01-10
37,sz127022,395.96,2022-01-10
38,sh113043,390.13,2022-01-10
39,sh113634,379.41,2022-01-10
40,sz123083,373.88,2022-01-10
41,sh113605,350.86,2022-01-10
42,sh110076,349.52,2022-01-10
43,sz128114,347.99,2022-01-10
44,sh113045,346.78,2022-01-10
45,sz123104,343.86,2022-01-10
46,sz128128,316.1,2022-01-10
47,sh113582,311.6,2022-01-10
48,sz127025,308.22,2022-01-10
49,sz123022,293.36,2022-01-10
50,sz128134,293.2,2022-01-10
1,sh113049,4073.87,2022-01-11
2,sz128136,3307.26,2022-01-11
3,sz127045,2979.55,2022-01-11
4,sh110059,2562.44,2022-01-11
5,sh113616,2324.87,2022-01-11
6,sh113021,2314.62,2022-01-11
7,sz128095,2123.57,2022-01-11
8,sh113011,1847.89,2022-01-11
9,sh113013,1589.27,2022-01-11
10,sh110081,1489.22,2022-01-11
11,sz123107,1309.11,2022-01-11
12,sz127038,1212.28,2022-01-11
13,sh110075,1205.03,2022-01-11
14,sh113042,1035.66,2022-01-11
15,sh113044,978.24,2022-01-11
16,sh113050,961.68,2022-01-11
17,sh110053,951.16,2022-01-11
18,sz127030,940.4,2022-01-11
19,sz127036,883.45,2022-01-11
20,sh113633,837.84,2022-01-11
21,sh110079,820.15,2022-01-11
22,sz127015,810.94,2022-01-11
23,sz127049,810.94,2022-01-11
24,sh113016,664.05,2022-01-11
25,sz123119,630.83,2022-01-11
26,sh110073,530.09,2022-01-11
27,sh110061,522.57,2022-01-11
28,sz128035,504.73,2022-01-11
29,sz127012,486.23,2022-01-11
30,sh110082,472.63,2022-01-11
31,sh113579,463.61,2022-01-11
32,sh113047,462.04,2022-01-11
33,sz123117,431.99,2022-01-11
34,sz123108,426.42,2022-01-11
35,sz127005,418.62,2022-01-11
36,sz127022,396.69,2022-01-11
37,sh113043,390.84,2022-01-11
38,sh113634,385.24,2022-01-11
39,sz127046,384.34,2022-01-11
40,sz123083,360.5,2022-01-11
41,sh110076,346.53,2022-01-11
42,sh113605,341.61,2022-01-11
43,sz128114,337.61,2022-01-11
44,sh113045,337.05,2022-01-11
45,sz123104,327.12,2022-01-11
46,sz128128,312.12,2022-01-11
47,sz127025,311.69,2022-01-11
48,sh113582,307.41,2022-01-11
49,sz128135,287.37,2022-01-11
50,sh110045,285.96,2022-01-11
1,sh113049,4345.4,2022-01-12
2,sz128136,3346.86,2022-01-12
3,sz127045,3015.33,2022-01-12
4,sh110059,2550.7,2022-01-12
5,sh113616,2373.21,2022-01-12
6,sh113021,2314.62,2022-01-12
7,sz128095,2239.23,2022-01-12
