rank,股票名称,总市值,日期
1,sh118016,13.34,2023-01-03
2,sh113595,13.5,2023-01-03
3,sz123052,14.36,2023-01-03
4,sh113546,15.63,2023-01-03
5,sh113578,15.72,2023-01-03
6,sh113566,16.09,2023-01-03
7,sh113628,16.21,2023-01-03
8,sz123163,16.23,2023-01-03
9,sz123015,16.37,2023-01-03
10,sz128118,16.43,2023-01-03
11,sz123140,16.44,2023-01-03
12,sz123160,16.83,2023-01-03
13,sh118017,17.22,2023-01-03
14,sh113576,17.24,2023-01-03
15,sz128120,17.57,2023-01-03
16,sz123126,18.47,2023-01-03
17,sz123153,18.51,2023-01-03
18,sh113561,18.78,2023-01-03
19,sh113589,18.8,2023-01-03
20,sz128049,19.4,2023-01-03
21,sz123136,19.58,2023-01-03
22,sz128082,19.65,2023-01-03
23,sz123155,19.99,2023-01-03
24,sz128066,20.08,2023-01-03
25,sh113574,20.17,2023-01-03
26,sh113535,20.52,2023-01-03
27,sz128143,20.53,2023-01-03
28,sz128127,21.02,2023-01-03
29,sh113570,21.15,2023-01-03
30,sz123127,21.53,2023-01-03
31,sh113524,21.75,2023-01-03
32,sz123138,21.81,2023-01-03
33,sz123141,21.99,2023-01-03
34,sz123054,22.09,2023-01-03
35,sz128072,22.33,2023-01-03
36,sz123014,22.36,2023-01-03
37,sz123013,22.63,2023-01-03
38,sz123011,22.81,2023-01-03
39,sz123100,23.01,2023-01-03
40,sh113601,23.08,2023-01-03
41,sz128070,23.28,2023-01-03
42,sh111005,23.44,2023-01-03
43,sh113527,24.17,2023-01-03
44,sh113573,24.38,2023-01-03
45,sz128076,24.5,2023-01-03
46,sz123088,24.65,2023-01-03
47,sh118021,24.68,2023-01-03
48,sz123106,25.41,2023-01-03
49,sh113594,25.93,2023-01-03
50,sz128125,26.15,2023-01-03
1,sh118016,13.47,2023-01-04
2,sh113595,13.57,2023-01-04
3,sz123052,14.55,2023-01-04
4,sh113578,16.13,2023-01-04
5,sz123163,16.27,2023-01-04
6,sh113628,16.36,2023-01-04
7,sz128118,16.36,2023-01-04
8,sh113546,16.38,2023-01-04
9,sh113566,16.43,2023-01-04
10,sz123140,16.72,2023-01-04
11,sz123160,16.94,2023-01-04
12,sz123015,17.0,2023-01-04
13,sh113576,17.19,2023-01-04
14,sz128120,17.53,2023-01-04
15,sh118017,17.63,2023-01-04
16,sz123153,18.59,2023-01-04
17,sz123126,18.7,2023-01-04
18,sh113589,18.8,2023-01-04
19,sh113561,18.91,2023-01-04
20,sz128049,19.81,2023-01-04
21,sz123136,19.82,2023-01-04
22,sz123155,19.87,2023-01-04
23,sz128082,19.91,2023-01-04
24,sz128066,20.38,2023-01-04
25,sh113535,20.52,2023-01-04
26,sz128143,20.67,2023-01-04
27,sh113574,20.74,2023-01-04
28,sh113570,21.4,2023-01-04
29,sz123127,21.55,2023-01-04
30,sz128127,21.64,2023-01-04
31,sh113524,21.71,2023-01-04
32,sz123138,21.99,2023-01-04
33,sz123141,22.03,2023-01-04
34,sz128072,22.19,2023-01-04
35,sz123054,22.35,2023-01-04
36,sz123013,22.66,2023-01-04
37,sz123014,22.67,2023-01-04
38,sz123011,22.87,2023-01-04
39,sh113601,22.92,2023-01-04
40,sz123100,23.03,2023-01-04
41,sh111005,23.34,2023-01-04
42,sz128070,23.51,2023-01-04
43,sh113527,24.3,2023-01-04
44,sz123088,24.4,2023-01-04
45,sz128076,24.45,2023-01-04
46,sh113573,24.95,2023-01-04
47,sz123106,25.56,2023-01-04
48,sh118021,25.66,2023-01-04
49,sz128056,26.69,2023-01-04
50,sz127054,26.79,2023-01-04
1,sh118016,13.39,2023-01-05
2,sh113595,13.6,2023-01-05
3,sz123052,14.5,2023-01-05
4,sh113578,15.89,2023-01-05
5,sz123163,16.34,2023-01-05
6,sh113628,16.38,2023-01-05
7,sz128118,16.41,2023-01-05
8,sh113546,16.51,2023-01-05
9,sz123015,16.75,2023-01-05
10,sz123140,16.83,2023-01-05
11,sh113566,16.92,2023-01-05
12,sz123160,17.03,2023-01-05
