id,code,short_name,short_name_spelling,full_name,list_status_id,list_status,issuer,company_code,issue_start_date,issue_end_date,plan_raise_fund,actual_raise_fund,issue_par,issue_price,is_guarantee,fund_raising_purposes,list_declare_date,convert_price_reason,convert_price,convert_start_date,convert_end_date,convert_code,coupon,exchange_code,exchange,currency_id,coupon_type_id,coupon_type,coupon_frequency,payment_type_id,payment_type,par,repayment_period,bond_type_id,bond_type,bond_form_id,bond_form,list_date,delist_Date,interest_begin_date,maturity_date,interest_date,last_cash_date,cash_comment
1,125301,丝绸转债,SCZZ,吴江丝绸股份有限公司可转换公司债券,301006,终止上市,江苏东方盛虹股份有限公司,000301.XSHE,1998-08-28,1998-09-03,20000.0,20000.0,100,100.0,1,"1、强捻重磅抗皱真丝绸技改项目
2、真丝乔其绒织造及印染后整理技改项目
3、改性型复合花色合股丝技改项目
4、多功能新奇纺生产线技改项目
5、偿还部分以前年度技改项目贷款",1998-09-14,初始转股价确定为本公司将来公开发行人民币普通股（即A股）时发行价的一定比例的折扣,4.1,2000-05-29,2003-08-27,000301,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,1998-09-15,2000-06-26,1998-08-28,2003-08-28,08-28,2003-08-28,
2,125302,茂炼转债,MLZZ,中国石化茂名炼油化工股份有限公司可转换公司债券,301006,终止上市,中国石化茂名炼油化工股份有限公司,,1999-07-28,1999-08-03,150000.0,150000.0,100,100.0,1,用于投资加工进口含硫原油配套工程中的渣油加氢脱硫装置和柴油加氢精制装置。,1999-08-17,初始转股价格为本公司将来首次公开发行人民币普通股（即A股）的发行价格的一定折扣。,,,,,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,1999-08-17,2004-07-27,1999-07-28,2004-07-28,07-28,2004-07-28,
3,125898,鞍钢转债,AGZZ,鞍钢新轧可转换企业债券,301006,终止上市,鞍钢股份有限公司,000898.XSHE,2000-03-14,2000-03-22,150000.0,150000.0,100,100.0,1,,2000-04-17,"本期债券发行前一个月(2月7日至3月7日)鞍钢新轧A股收盘价的算术平均值3.11元为基准,上浮6.11％",3.3,2000-09-14,2005-03-13,000898,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2000-04-17,2001-11-26,2000-03-15,2005-03-15,03-15,2005-03-15,
5,123035,利德转债,LDZZ,2019年利亚德光电股份有限公司创业板公开发行可转换公司债券,301001,正常上市,利亚德光电股份有限公司,300296.XSHE,2019-11-14,2019-11-14,80000.0,80000.0,100,100.0,0,"LED应用产业南方总部项目,补充流动资金,利亚德（西安）智能研发中心项目,LED应用产业园建设项目",,,7.04,2020-05-20,2025-11-13,300296,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,72,703013,可转债,704001,记账式,2019-12-09,,2019-11-14,2025-11-14,11-14,2025-11-14,
6,100001,南化转债,NHZZ,南宁化工股份有限公司可转换公司债券,301006,终止上市,广西华锡有色金属股份有限公司,600301.XSHG,1998-08-03,1998-08-03,15000.0,15000.0,100,100.0,1,"1、烧碱由年产5万吨扩建至年产8万吨技改项目
2、双加”工程,强氯精（三氯异氰尿酸）由5,000吨/年扩建至10,000吨/年项目
3、年产2,000吨AC发泡剂技改项目
4、偿还1998年度到期长期借款6,900万元",1998-09-01,初始转股价确定为本公司将来公开发行人民币普通股（即A股）时发行价的一定比例的折扣,4.56,2000-07-12,2003-08-02,600301,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,1998-09-02,2000-07-28,1998-08-03,2001-05-25,08-03,2001-05-25,
7,100009,机场转债,JCZZ,上海国际机场股份有限公司可转换公司债券,301006,终止上市,上海国际机场股份有限公司,600009.XSHG,2000-02-25,2000-03-08,135000.0,135000.0,100,100.0,1,购买上海浦东国际机场候机楼及相关资产,2000-03-11,"以发行可转换公司债券前1个月股票的平均价格为基准,上浮一定幅度作为转股价格",10,2000-08-25,2005-02-24,600009,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2000-03-16,2004-04-22,2000-02-25,2004-04-23,02-25,2004-04-23,
8,100220,阳光转债,YGZZ,江苏阳光股份有限公司可转换公司债券,301006,终止上市,江苏阳光股份有限公司,600220.XSHG,2002-04-18,2002-04-18,83000.0,83000.0,100,100.0,1,,2002-05-16,"本次发行的阳光转债初始转股价格以公布募集说明书之日前30个交易日公司A股股票的平均收盘价格为基础,上浮一定幅度作为初始转股价格",9.13,2003-04-18,2005-04-18,600220,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2002-05-16,2005-04-04,2002-04-18,2005-04-18,04-18,2005-04-18,
9,125002,万科转债,WKZZ,万科企业股份有限公司可转换债券,301006,终止上市,万科企业股份有限公司,000002.XSHE,2002-06-13,2002-06-13,150000.0,150000.0,100,100.0,1,,2002-06-26,"以公布募集说明书前三十个交易日“万科A”股股票平均收盘价格11.86元为基准,上浮2%。",11.9,2002-12-13,2007-06-12,000002,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-06-28,2004-04-19,2002-06-13,2004-04-23,06-13,2004-04-23,
10,100087,水运转债,SYZZ,南京水运实业股份有限公司可转换公司债券,301006,终止上市,招商局南京油运股份有限公司,601975.XSHG,2002-08-13,2002-08-13,32000.0,32000.0,100,100.0,1,,2002-08-28,"转股价格的确定应以公布募集说明书摘要前30个交易日公司股票的平均收盘价格为基础,并上浮一定幅度。",11.69,2003-08-13,2007-08-12,600087,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-08-28,2007-03-28,2002-08-13,2007-03-29,08-13,2007-03-29,
11,126301,丝绸转2,SCZ2,吴江丝绸股份有限公司可转换公司债券,301006,终止上市,江苏东方盛虹股份有限公司,000301.XSHE,2002-09-09,2002-09-09,80000.0,80000.0,100,100.0,0,,2002-09-20,"丝绸转2的初始转股价格为8.78元,以此次《吴江丝绸股份有限公司发行可转换公司债券募集说明书》公告日前30个交易日公司A股股票二级市场平均收盘价格8.527元为基础,上浮3%。",7.03,2003-03-09,2007-09-09,000301,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-09-24,2006-09-08,2002-09-09,2006-09-11,09-09,2006-09-11,
12,125729,燕京转债,YJZZ,北京燕京啤酒股份有限公司可转换公司债券,301006,终止上市,北京燕京啤酒股份有限公司,000729.XSHE,2002-10-16,2002-10-16,70000.0,70000.0,100,100.0,1,,2002-10-31,"初始转股价格为10.59元/股,以公布燕京转债募集说明书前三十个交易日公司股票的平均收盘价格为基准,上浮10%确定。",10.59,2003-10-16,2007-10-16,000729,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-10-31,2006-04-19,2002-10-16,2007-10-16,10-16,2007-10-16,
13,125629,钢钒转债,GFZZ,攀枝花新钢钒股份有限公司可转换公司债券,301006,终止上市,攀钢集团钒钛资源股份有限公司,000629.XSHE,2003-01-22,2003-01-22,160000.0,160000.0,100,100.0,1,"1、1450mm 热连轧技术改造项目
2、淘汰模铸、增配方坯和板坯连铸机技术改造工程",2003-02-12,"以公布募集说明书前30个交易日公司A股股票的平均收盘价为基础,上浮0.2%。",5.64,2003-07-22,2008-01-22,000629,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-02-17,2004-03-03,2003-01-22,2004-04-06,01-22,2004-04-06,
14,100016,民生转债,MSZZ,民生银行可转换公司债券,301006,终止上市,中国民生银行股份有限公司,600016.XSHG,2003-02-27,2003-02-27,400000.0,400000.0,100,100.0,1,"1、发放支持中小企业专项贷款
2、拨付分支机构营运资金（转股后）
3、购置固定资产
4、增加资产的流动性",2003-03-13,"以公布募集说明书之日前30个交易日公司股票的算术平均收盘价格10.01为基础,上浮1%",7.73,2003-08-27,2008-02-27,600016,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-03-18,2005-10-28,2003-02-27,2008-02-27,02-27,2008-02-27,
15,100177,雅戈转债,YGZZ,雅戈尔集团股份有限公司可转换公司债券,301006,终止上市,雅戈尔时尚股份有限公司,600177.XSHG,2003-04-03,2003-04-03,119000.0,119000.0,100,100.0,1,,2003-04-21,"以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础,上浮0.1%作为初始转股价格。",9.48,2003-10-03,2006-04-03,600177,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2003-04-21,2006-03-10,2003-04-03,2006-04-03,04-03,2006-04-03,
16,125930,丰原转债,FYZZ,安徽丰原生物化学股份有限公司可转换公司债券,301006,终止上市,中粮生物科技股份有限公司,000930.XSHE,2003-04-24,2003-04-24,50000.0,50000.0,100,100.0,1,,2003-05-20,"以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础,溢价幅度确定为0.1%。",8.13,2003-10-27,2008-04-22,000930,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-05-20,2005-10-13,2003-04-24,2006-03-13,04-24,2006-03-13,
17,125630,铜都转债,TDZZ,安徽铜都铜业股份有限公司可转换公司债券,301006,终止上市,铜陵有色金属集团股份有限公司,000630.XSHE,2003-05-21,2003-05-21,76000.0,76000.0,100,100.0,1,,2003-05-31,"以公布募集说明书前三十个交易日""铜都铜业""股票平均收盘价格6.897元为基准,上浮0.1%",6.9,2003-11-21,2008-05-15,000630,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-06-04,2005-09-29,2003-05-21,2006-06-30,05-21,2006-06-30,
18,100726,华电转债,HDZZ,黑龙江电力股份有限公司可转换公司债券,301006,终止上市,华电能源股份有限公司,600726.XSHG,2003-06-03,2003-06-03,80000.0,80000.0,100,100.0,1,,2003-06-13,"本期可转换债券初始转股价格以公布募集说明书前30个交易日龙电股份A股的平均收盘价(7.21元/股)为基础上浮3%,即7.43元/股。",6.5,2003-12-03,2008-06-02,600726,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-06-18,2007-05-28,2003-06-03,2007-05-29,06-03,2007-05-29,
19,100567,山鹰转债,SYZZ,安徽山鹰纸业股份有限公司可转换公司债券,301006,终止上市,山鹰国际控股股份公司,600567.XSHG,2003-06-16,2003-06-16,25000.0,25000.0,100,100.0,1,本次募资用于5万吨/年高强度牛皮卡纸国家级火炬计划项目，4万吨/年低定量强韧牛皮纸箱板火炬计划项目，多层瓦楞纸箱、纸箱板生产线技改工程，污水处理及水封闭循环使用系统能够改造工程，剩余资金用于补充企业流动资,2003-06-26,募集说明书前30个交易日“山鹰纸业“股票收盘价格的算数平均值为基准，上调0.1%,6.77,2003-12-16,2008-06-15,600567,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-07-01,2006-04-18,2003-06-16,2007-01-31,06-16,2007-01-31,
20,100236,桂冠转债,GGZZ,广西桂冠电力股份有限公司可转换公司债券,301006,终止上市,广西桂冠电力股份有限公司,600236.XSHG,2003-06-30,2003-06-30,80000.0,80000.0,100,100.0,1,"本次发行预计扣除发行费用后,实际募集资金78322万元,将全部用于：恶滩水电站扩建工程、合山电厂改扩建工程、平班水电站建设项目。",2003-07-10,本期可转换债券初始转股价格以本次发行《募集说明书》公告之日前30个交易日桂冠电力收盘价的算术平均值12．50元为基础，上浮3％（即初始转股溢价比率为3％）来确定，为12．88元／股。,12.58,2004-06-30,2008-06-30,600236,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-07-15,2008-06-13,2003-06-30,2008-06-30,06-30,2008-06-30,
21,100795,国电转债,GDZZ,国电电力发展股份有限公司可转换公司债券,301006,终止上市,国电电力发展股份有限公司,600795.XSHG,2003-07-15,2003-07-25,200000.0,200000.0,100,100.0,1,,2003-08-01,初始转股价格以本募集说明书公布前30个交易日公司股票的平均收盘价格为基础上浮3%,10.55,2004-01-18,2008-07-17,600795,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-08-01,2007-04-20,2003-07-18,2007-04-23,07-18,2007-04-23,
22,100117,西钢转债,XGZZ,西宁特殊钢股份有限公司可转换公司债券,301006,终止上市,西宁特殊钢股份有限公司,600117.XSHG,2003-08-11,2003-08-18,49000.0,49000.0,100,100.0,1,,2003-08-26,"初始转股价为5.34 元/股,以募集说明书刊登日前30 个交易日本公司A 股收盘价的算术平均值5.34 元为基准,上浮0.1%。",5.34,2004-02-11,2008-08-10,600117,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-08-26,2007-06-08,2003-08-11,2007-06-11,08-11,2007-06-11,
23,125936,华西转债,HXZZ,江苏华西村股份有限公司可转换公司债券,301006,终止上市,江苏华西村股份有限公司,000936.XSHE,2003-09-01,2003-09-01,40000.0,40000.0,100,100.0,1,,2003-09-13,"初始转股价格以公布募集说明书之日前三十个交易日本公司股票的平均收盘价格为基础,上浮0.1%作为初始转股价格。初始转股价格自本次发行结束后开始生效。",11.86,2004-03-01,2008-08-31,000936,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-09-16,2006-08-11,2003-09-01,2006-08-14,09-01,2006-08-14,
24,100096,云化转债,YHZZ,云南云天化股份有限公司可转换公司债券,301006,终止上市,云南云天化股份有限公司,600096.XSHG,2003-09-10,2003-09-17,41000.0,41000.0,100,100.0,1,,2003-09-20,"以公布募集说明书日前30个交易日本公司A股收盘价的算术平均值为基准,上浮0.1%,即每股9.43 元;",9.43,2004-03-10,2006-09-09,600096,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2003-09-25,2006-03-09,2003-09-10,2006-09-09,09-10,2006-09-09,
25,100196,复星转债,FXZZ,上海复星实业股份有限公司可转换公司债券,301006,终止上市,上海复星医药(集团)股份有限公司,600196.XSHG,2003-10-28,2003-11-04,95000.0,95000.0,100,100.0,1,,2003-11-12,"以本募集说明书公布之日前30个交易日公司股票的平均收盘价格为基准,上浮0.1%确定。",10.06,2004-04-28,2008-10-27,600196,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-11-17,2006-07-11,2003-10-28,2006-07-12,10-28,2006-07-12,
26,110001,邯钢转债,HGZZ,邯郸钢铁股份有限公司可转换公司债券,301006,终止上市,邯郸钢铁股份有限公司,600001.XSHG,2003-11-26,2003-11-26,200000.0,200000.0,100,100.0,1,,2003-12-06,本次发行的可转债初始转股价格以公布《募集说明书》之日前30个交易日公司股票收盘价格的算术平均值为基准上浮0.2%。,5.34,2003-11-26,2008-11-25,600001,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-12-11,2007-03-01,2003-11-26,2007-03-02,11-26,2007-03-02,
